sample-id,frequency
SRR5383095,62594.0
SRR5383334,62517.0
SRR5382974,62459.0
SRR5383111,62354.0
SRR5382905,62278.0
SRR5383211,62245.0
SRR5382858,62142.0
SRR5383019,62087.0
SRR5383015,62055.0
SRR5383345,62016.0
SRR5383335,61975.0
SRR5383079,61882.0
SRR5382870,61776.0
SRR5378027,61776.0
SRR5382871,61755.0
SRR5383364,61753.0
SRR7876643,61681.0
SRR5383299,61669.0
SRR5383312,61637.0
SRR5382919,61636.0
SRR5382930,61610.0
SRR5378019,61595.0
SRR5383332,61541.0
SRR5383330,61529.0
SRR5377952,61485.0
SRR5383042,61469.0
SRR5383136,61452.0
SRR5383182,61425.0
SRR5383391,61366.0
SRR5383100,61296.0
SRR5383070,61276.0
SRR5382946,61252.0
SRR5383333,61234.0
SRR5377945,61192.0
SRR5383022,61175.0
SRR5382942,61071.0
SRR5377985,61027.0
SRR7876561,61019.0
SRR5382867,61014.0
SRR5377996,61008.0
SRR5383170,60963.0
SRR5382853,60886.0
SRR5382855,60885.0
SRR5378066,60877.0
SRR5383346,60854.0
SRR5377969,60837.0
SRR5383127,60832.0
SRR5383308,60789.0
SRR5383316,60712.0
SRR5383260,60700.0
SRR5377881,60657.0
SRR5382994,60645.0
SRR5382859,60616.0
SRR5383099,60539.0
SRR5382982,60537.0
SRR5382924,60446.0
SRR7876541,60410.0
SRR5383150,60335.0
SRR5383107,60283.0
SRR5382874,60269.0
SRR5377914,60227.0
SRR5383187,60091.0
SRR5377876,60020.0
SRR5383362,60013.0
SRR5383068,59973.0
SRR5377917,59930.0
SRR5377922,59885.0
SRR5378071,59882.0
SRR5383212,59724.0
SRR5383072,59691.0
SRR5383234,59657.0
SRR5377958,59570.0
SRR5377889,59534.0
SRR5383156,59431.0
SRR5383142,59404.0
SRR5383228,59396.0
SRR5383166,59290.0
SRR5382913,59225.0
SRR5383293,59222.0
SRR5378067,59209.0
SRR5383331,59138.0
SRR5378010,59130.0
SRR5383353,59119.0
SRR5383193,59066.0
SRR5377935,59059.0
SRR5382900,58997.0
SRR5377950,58949.0
SRR5383074,58923.0
SRR5378069,58915.0
SRR5383129,58884.0
SRR5383105,58868.0
SRR5383342,58846.0
SRR5377883,58821.0
SRR5377975,58812.0
SRR5383081,58751.0
SRR5383180,58703.0
SRR5383388,58630.0
SRR5383159,58565.0
SRR5383266,58479.0
SRR5377887,58444.0
SRR5383151,58442.0
SRR5377879,58426.0
SRR5383251,58405.0
SRR5383028,58372.0
SRR5383204,58364.0
SRR5382875,58317.0
SRR5383009,58272.0
SRR5377890,58192.0
SRR5382881,58110.0
SRR5377869,58056.0
SRR5383020,58029.0
SRR5383325,58005.0
SRR5383153,58003.0
SRR5382945,57991.0
SRR5383086,57976.0
SRR5382850,57958.0
SRR5382873,57957.0
SRR5383224,57871.0
SRR5383050,57774.0
SRR5383340,57762.0
SRR5383005,57756.0
SRR5383139,57730.0
SRR5383021,57681.0
SRR5382904,57676.0
SRR5382927,57659.0
SRR5377870,57621.0
SRR5383294,57620.0
SRR5383338,57613.0
SRR5383269,57575.0
SRR5383357,57528.0
SRR5383053,57491.0
SRR5378026,57483.0
SRR5383044,57445.0
SRR5383184,57430.0
SRR5383036,57427.0
SRR5383282,57374.0
SRR5383025,57373.0
SRR5383031,57359.0
SRR5382995,57352.0
SRR5382872,57298.0
SRR5378000,57288.0
SRR5382917,57287.0
SRR5383075,57271.0
SRR5383374,57257.0
SRR5383286,57227.0
SRR5383054,57220.0
SRR5383132,57204.0
SRR5382868,57193.0
SRR5383301,57191.0
SRR5383246,57155.0
SRR5383000,57096.0
SRR5377939,57072.0
SRR7876604,57051.0
SRR5377897,57034.0
SRR5378042,56940.0
SRR5383066,56922.0
SRR5383161,56904.0
SRR5377873,56888.0
SRR5377911,56834.0
SRR5383057,56811.0
SRR5377888,56797.0
SRR5383355,56784.0
SRR5377877,56697.0
SRR5382903,56691.0
SRR5383213,56677.0
SRR5383329,56675.0
SRR5383122,56650.0
SRR5382977,56640.0
SRR5377995,56639.0
SRR5383356,56626.0
SRR5383145,56624.0
SRR5377970,56604.0
SRR5383026,56583.0
SRR5382847,56562.0
SRR5377878,56550.0
SRR5383230,56525.0
SRR5383285,56519.0
SRR5383113,56512.0
SRR5378058,56510.0
SRR5383343,56480.0
SRR5382949,56474.0
SRR5383281,56437.0
SRR5377866,56347.0
SRR5383198,56322.0
SRR5383181,56317.0
SRR5383183,56308.0
SRR5383137,56299.0
SRR5383241,56283.0
SRR5382863,56259.0
SRR5382928,56225.0
SRR5377956,56125.0
SRR5382967,56056.0
SRR5383037,56020.0
SRR5377868,55937.0
SRR5383191,55927.0
SRR5378024,55924.0
SRR5383328,55900.0
SRR5383171,55895.0
SRR5377973,55895.0
SRR5383024,55893.0
SRR5383141,55890.0
SRR5377874,55871.0
SRR5377898,55867.0
SRR5383216,55851.0
SRR5383017,55840.0
SRR5382950,55813.0
SRR5377954,55762.0
SRR5382890,55753.0
SRR5382907,55683.0
SRR5383065,55646.0
SRR5382920,55640.0
SRR5383304,55632.0
SRR5377885,55563.0
SRR5383104,55548.0
SRR5382947,55543.0
SRR5383120,55530.0
SRR5382851,55528.0
SRR5377880,55517.0
SRR5383262,55506.0
SRR5383291,55493.0
SRR5378031,55405.0
SRR5383313,55396.0
SRR5382876,55395.0
SRR5377933,55385.0
SRR5377921,55359.0
SRR5383371,55356.0
SRR5383155,55341.0
SRR5377912,55325.0
SRR5383194,55313.0
SRR5383087,55302.0
SRR5383231,55233.0
SRR5377994,55221.0
SRR5382978,55194.0
SRR5382869,55185.0
SRR5383178,55159.0
SRR5383055,55109.0
SRR5383010,55095.0
SRR5377871,54982.0
SRR5383051,54980.0
SRR5383002,54949.0
SRR5377863,54947.0
SRR5383233,54930.0
SRR5382860,54912.0
SRR5382993,54899.0
SRR5382976,54877.0
SRR5383376,54868.0
SRR5383062,54836.0
SRR5383226,54833.0
SRR5383186,54816.0
SRR5383179,54805.0
SRR5377882,54795.0
SRR5377862,54783.0
SRR5383097,54756.0
SRR5383060,54754.0
SRR5383347,54748.0
SRR5383296,54705.0
SRR5383298,54698.0
SRR5382861,54689.0
SRR5378063,54682.0
SRR5383303,54645.0
SRR5383192,54639.0
SRR5383292,54595.0
SRR5383344,54530.0
SRR5383197,54528.0
SRR5378068,54490.0
SRR5383390,54478.0
SRR5383003,54458.0
SRR5382980,54450.0
SRR5383041,54443.0
