Disease,Samples,Mean,Median,Standard_deviation,Minimum,Maximum
COPD,124,0.13014388962244106,0.13773177014066013,0.04524327706869675,0.0125744344459713,0.2184771757872765
Healthy,124,2.697388119083871e-06,0.0,3.0036842884312566e-05,0.0,0.0003344761267664
