sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
SRR5383208	86595	77682	89.71	77448	65314	75.42	63947	73.85
SRR5383209	78097	59342	75.98	59115	48796	62.48	48056	61.53
SRR5383210	67320	59398	88.23	59191	48539	72.1	47957	71.24
SRR5383211	77042	71397	92.67	71170	63927	82.98	62245	80.79
SRR5383212	73806	67099	90.91	66875	60527	82.01	59724	80.92
SRR5383213	85475	69561	81.38	69326	57729	67.54	56677	66.31
SRR5383214	304687	271623	89.15	271155	240302	78.87	233508	76.64
SRR5383215	76477	66500	86.95	66251	54624	71.43	53960	70.56
SRR5383216	74945	67378	89.9	67228	56871	75.88	55851	74.52
SRR5383218	70602	61408	86.98	61131	51258	72.6	50280	71.22
SRR5383219	72727	64367	88.5	64135	54549	75.01	53738	73.89
SRR5383220	71788	60507	84.29	60354	51031	71.09	47210	65.76
SRR5383221	66975	60314	90.05	60133	48521	72.45	47818	71.4
SRR5383222	70436	63219	89.75	62955	53129	75.43	52496	74.53
SRR5383223	69942	61771	88.32	61570	50621	72.38	50037	71.54
SRR5383224	77604	69174	89.14	68915	59093	76.15	57871	74.57
SRR5383225	73093	64671	88.48	64334	54383	74.4	53509	73.21
SRR5383226	77753	67295	86.55	67019	56028	72.06	54833	70.52
SRR5383227	298438	262902	88.09	262453	219329	73.49	213968	71.7
SRR5383228	78816	70828	89.87	70615	60227	76.41	59396	75.36
SRR5383229	87191	78766	90.34	78571	69217	79.39	66957	76.79
SRR5383230	73759	65436	88.72	65251	57306	77.69	56525	76.63
SRR5383231	78365	65413	83.47	65218	56022	71.49	55233	70.48
SRR5383232	96725	87305	90.26	87104	77710	80.34	76070	78.65
SRR5383233	76717	67813	88.39	67580	55913	72.88	54930	71.6
SRR5383234	77983	69581	89.23	69395	60569	77.67	59657	76.5
SRR5383235	85540	63616	74.37	63358	53452	62.49	52886	61.83
SRR5383236	67297	60225	89.49	59997	50254	74.67	49556	73.64
SRR5383237	70956	62438	88	62201	52669	74.23	51948	73.21
SRR5383238	75482	67254	89.1	66996	54694	72.46	53926	71.44
SRR5383239	282130	251481	89.14	251024	209162	74.14	204178	72.37
SRR5383240	71263	63514	89.13	63289	53383	74.91	52763	74.04
SRR5383241	78035	67831	86.92	67605	57217	73.32	56283	72.13
SRR5383243	70218	61795	88	61572	50379	71.75	49779	70.89
SRR5383244	73084	62597	85.65	62370	51845	70.94	51187	70.04
SRR5383245	78452	62850	80.11	62614	53837	68.62	52795	67.3
SRR5383246	80069	69439	86.72	69266	58004	72.44	57155	71.38
SRR5383247	68831	60020	87.2	59727	50105	72.79	49221	71.51
SRR5383248	76084	64629	84.94	64391	54137	71.15	53515	70.34
SRR5383249	73480	63304	86.15	63130	53324	72.57	52734	71.77
