sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
SRR7876595	12920	11741	90.87	11654	11363	87.95	11302	87.48
SRR7876596	195524	185607	94.93	185494	184929	94.58	179363	91.73
SRR7876597	27545	25278	91.77	25207	24933	90.52	24334	88.34
SRR7876598	103846	95849	92.3	95709	94501	91	90514	87.16
SRR7876599	120840	109261	90.42	109093	108137	89.49	103266	85.46
SRR7876600	22296	20816	93.36	20775	20531	92.08	19716	88.43
SRR7876601	39049	34947	89.5	34754	34204	87.59	31916	81.73
SRR7876602	95599	90232	94.39	90069	89607	93.73	84152	88.03
SRR7876603	39136	36706	93.79	36616	36053	92.12	33023	84.38
SRR7876604	64150	59929	93.42	59832	59200	92.28	57051	88.93
SRR7876605	277130	272323	98.27	272201	270995	97.79	267066	96.37
SRR7876606	158887	144889	91.19	144574	142534	89.71	138469	87.15
SRR7876607	72609	67588	93.08	67415	66561	91.67	65301	89.94
SRR7876608	840580	773438	92.01	772799	761777	90.63	747430	88.92
SRR7876609	36835	34056	92.46	33925	33518	90.99	31531	85.6
SRR7876610	23393	20802	88.92	20683	20386	87.15	19293	82.47
SRR7876611	135885	123591	90.95	123467	121547	89.45	114552	84.3
SRR7876612	32183	30158	93.71	30124	29828	92.68	28679	89.11
SRR7876613	145408	132740	91.29	132535	130336	89.63	124436	85.58
SRR7876614	196765	184567	93.8	184488	183368	93.19	178375	90.65
SRR7876615	29193	27389	93.82	27341	26950	92.32	26165	89.63
SRR7876616	100466	93179	92.75	93117	92385	91.96	89133	88.72
SRR7876617	127157	121460	95.52	121398	120844	95.04	116895	91.93
SRR7876618	225105	208031	92.42	207844	205806	91.43	202555	89.98
SRR7876619	20330	19419	95.52	19327	19152	94.21	18799	92.47
SRR7876620	148349	139578	94.09	139451	138084	93.08	135973	91.66
SRR7876621	159319	147384	92.51	147168	145673	91.43	141725	88.96
SRR7876622	108457	100655	92.81	100459	99003	91.28	97199	89.62
SRR7876623	143119	134141	93.73	133954	132974	92.91	128238	89.6
SRR7876624	135763	124615	91.79	124548	123808	91.19	120596	88.83
SRR7876625	56127	52558	93.64	52341	51809	92.31	50664	90.27
SRR7876626	167371	156845	93.71	156727	155209	92.73	152948	91.38
SRR7876627	186371	173929	93.32	173799	172584	92.6	168871	90.61
SRR7876628	473399	439097	92.75	438710	432920	91.45	418526	88.41
SRR7876629	106217	97671	91.95	97472	96102	90.48	91225	85.89
SRR7876630	179415	167495	93.36	167247	166425	92.76	159873	89.11
SRR7876631	295146	272750	92.41	272619	269479	91.3	264355	89.57
SRR7876632	139569	129912	93.08	129617	128456	92.04	124714	89.36
SRR7876633	322415	296830	92.06	296661	293287	90.97	273257	84.75
SRR7876634	125259	117348	93.68	117113	115609	92.3	112565	89.87
SRR7876635	236065	220244	93.3	220111	218896	92.73	212144	89.87
SRR7876636	22119	20684	93.51	20629	20384	92.16	18286	82.67
SRR7876637	168800	154778	91.69	154567	151670	89.85	146231	86.63
SRR7876638	243074	224764	92.47	224620	222897	91.7	208879	85.93
SRR7876639	106679	98939	92.74	98828	97721	91.6	96646	90.6
SRR7876640	113506	105564	93	105451	104583	92.14	101335	89.28
SRR7876641	280405	260854	93.03	260624	257424	91.8	248449	88.6
SRR7876642	174759	161687	92.52	161528	159984	91.55	154496	88.41
SRR7876643	67815	63449	93.56	63367	62898	92.75	61681	90.95
SRR7876644	20928	19039	90.97	18991	18693	89.32	18193	86.93
SRR7876645	39212	31526	80.4	31433	31149	79.44	30649	78.16
SRR7876646	53205	48933	91.97	48807	48283	90.75	47075	88.48
SRR7876647	239363	219766	91.81	219619	218232	91.17	210649	88
SRR7876648	81787	77938	95.29	77863	77338	94.56	75079	91.8
SRR7876649	97799	91554	93.61	91340	90315	92.35	87370	89.34
SRR7876650	75880	69958	92.2	69775	68925	90.83	67139	88.48
SRR7876651	58817	52932	89.99	52825	52117	88.61	49992	85
